[08-Nov-2023 12:19:54 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\index.php on line 192
[08-Nov-2023 12:20:08 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:20:08 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:20:08 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 12:20:55 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\index.php on line 192
[08-Nov-2023 12:21:09 Asia/Calcutta] PHP Warning:  Undefined array key "UserEmpReraId" in D:\xampp\htdocs\apnalead\handler\ModuleController\UserController.php on line 80
[08-Nov-2023 12:21:37 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:21:37 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:21:37 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 12:49:18 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\app\leads\index.php on line 192
[08-Nov-2023 12:51:02 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:51:02 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:51:02 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 12:51:02 Asia/Calcutta] PHP Fatal error:  Uncaught Error: Call to undefined function getLastInsertedID() in D:\xampp\htdocs\apnalead\handler\index.php:195
Stack trace:
#0 {main}
  thrown in D:\xampp\htdocs\apnalead\handler\index.php on line 195
[08-Nov-2023 12:53:38 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:53:38 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:53:38 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 12:53:38 Asia/Calcutta] PHP Fatal error:  Uncaught Error: Call to undefined function getUsersForDistribution() in D:\xampp\htdocs\apnalead\handler\index.php:157
Stack trace:
#0 {main}
  thrown in D:\xampp\htdocs\apnalead\handler\index.php on line 157
[08-Nov-2023 12:54:28 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:54:28 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 12:54:28 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 13:10:41 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:10:41 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:10:41 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 13:10:41 Asia/Calcutta] PHP Fatal error:  Uncaught mysqli_sql_exception: You have an error in your SQL syntax; check the manual that corresponds to your MariaDB server version for the right syntax to use near 'Asc' at line 1 in D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php:12
Stack trace:
#0 D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php(12): mysqli_query(Object(mysqli), 'SELECT * FROM c...')
#1 D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php(26): SELECT('SELECT * FROM c...')
#2 D:\xampp\htdocs\apnalead\handler\index.php(162): FETCH('SELECT * FROM c...', 'company_alloted...')
#3 {main}
  thrown in D:\xampp\htdocs\apnalead\acm\SysModules\CRUD_Modules\Select.php on line 12
[08-Nov-2023 13:13:33 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:13:33 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:13:33 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 13:16:00 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:16:00 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:16:00 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 13:23:20 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:23:20 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:23:20 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 13:23:20 Asia/Calcutta] PHP Fatal error:  Uncaught TypeError: array_merge(): Argument #2 must be of type array, string given in D:\xampp\htdocs\apnalead\handler\index.php:168
Stack trace:
#0 D:\xampp\htdocs\apnalead\handler\index.php(168): array_merge(Array, '3')
#1 {main}
  thrown in D:\xampp\htdocs\apnalead\handler\index.php on line 168
[08-Nov-2023 13:23:35 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:23:35 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:23:35 Asia/Calcutta] PHP Warning:  foreach() argument must be of type array|object, null given in D:\xampp\htdocs\apnalead\handler\index.php on line 41
[08-Nov-2023 13:23:35 Asia/Calcutta] PHP Fatal error:  Uncaught TypeError: array_merge(): Argument #2 must be of type array, string given in D:\xampp\htdocs\apnalead\handler\index.php:168
Stack trace:
#0 D:\xampp\htdocs\apnalead\handler\index.php(168): array_merge(Array, '3')
#1 {main}
  thrown in D:\xampp\htdocs\apnalead\handler\index.php on line 168
[08-Nov-2023 13:27:54 Asia/Calcutta] PHP Warning:  Undefined property: stdClass::$leads in D:\xampp\htdocs\apnalead\handler\index.php on line 40
[08-Nov-2023 13:27:54 Asia/Calcutta] PHP Warning:  Attempt to read property "data" on null in D:\xampp\htdocs\apnalead\handler\index.php on line 40
